Origin, Inside
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-customitem
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/department
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-department-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-department-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-department-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-department
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-department-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-department-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-department
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-display-get-option-value-string-displayid
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-display-set-option-value-string-displayid
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-display
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/errorstatustype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-error-status-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-error-status-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-error-status-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-error-status-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-errorstatustype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/expensecode
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active-expense-entry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active-invoice-expense-entry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active-invoice-time-entry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active-time-entry
